Имя объекта	Тип объекта	Содержание	Коментарий
ShestakovMY;
ZakharovaOA;
DerunovaEV;
IvanovaYN;
KoveraII;
KrivashovaMV;
LevitckySN;
PerkhurovaNN;
PleshakovMV;
PozdnyakovMS;
RubtsovAA;
SvetlovaEP;
VlasovaAS;
YakunyaNM;
GaripovRV;
GromovBM;
KuptsovPG;
PozdnyakovNS;
VologzhaninAA;
SamoshenkoLA;
KharlamovaAB;
MOS-ETRANTERM-2K3;
MOS-ETRTS1-2K12;
DemyachenkoEV;
MardanovaTB;
AkhmedjanovaIA;
ZernovaSA;
10.13.130.187;
SafaryanKG;
KuzminAA;
10.13.129.244;
10.13.131.10;
10.13.128.76;
10.13.131.140;
10.13.131.89;
10.13.131.25;
10.13.132.63;
10.13.130.133;
10.5.168.59;
10.13.130.13;
10.13.132.207;
10.13.132.64;
10.5.168.234;
10.13.131.76;
10.5.169.93;
10.13.130.43;
10.13.131.221;
10.13.132.88;
10.13.128.167;
10.13.129.253	
Post_and_Proxy_Server_Ast	Ip адрес	10.7.233.2	
Post_Server_Surgut	Ip адрес	10.7.237.2	
MapInfoProdUsers	Группа ip адресов	10.13.204.102;
10.14.88.65;
10.7.233.87;
10.7.235.203;
10.7.237.116;
10.7.66.69	37606596
Terminal_Client	Группа ip адресов	10.7.237.85;
10.7.237.10;
10.7.237.70;
10.7.233.251	
Tunnel_Clients	Группа ip адресов	10.7.233.251
10.7.237.91	
Uhta_nets	Группа ip адресов	10.7.235.128 255.255.255.128	
Urengoy_nets	Группа ip адресов	10.7.240.128 255.255.255.128	
Cluster_Oracle	Группа ip адресов	10.5.169.195;
10.5.169.196;
10.5.169.75;
10.5.169.76;
10.13.129.185	
Servera_Oracle_Filiali	Группа ip адресов	10.7.65.13;
10.7.65.14;
10.13.204.6;
10.13.204.5;
10.7.237.72;
10.7.237.71;
10.7.235.180;
10.7.235.181;
10.7.233.26;
10.7.233.27;
10.7.240.134;
10.7.240.136;
10.7.65.18;
10.7.65.19;
10.7.233.11;
10.7.237.109;
10.7.237.123;
10.7.237.125;
10.7.237.76;
10.7.237.78	
Krasnodar_nets	Группа ip адресов	10.7.239.128 255.255.255.128	
Etran_Servers	Группа ip адресов	10.5.169.195;
10.5.169.196;
10.5.168.235;
10.5.169.30;
10.5.168.88;
10.5.168.252	
MOS-ETRTS1-2K12	Ip адрес	10.5.169.200	
WSUS_clients	Группа ip адресов	10.7.233.3;
10.7.237.67;
10.7.67.9;
WSUS_Urengoy;
WSUS_Yamal;
WSUS_Uhta	Downstream WSUS servers in branch offices
Kaspersky_clients	Группа ip адресов	10.7.65.9;
Astrakhan_WSUS_Server;
10.7.67.10;
post;
ns;
10.5.139.114;
KSC_Yamal;
KSC_Surgut;
10.7.235.174;
10.7.240.207;
10.5.139.69;
10.5.139.83;
mos-1c7-2k3;
ZecurionDLP_Server	Downstream Kaspersky Admin servers in branch offices
ASBU_ports	Протокол TCP	3200;
3300;
3600;
50001;
8001	Ports for connecting to ASBU
Region_Client_Etran	Группа ip адресов	10.7.235.135;
10.7.235.139;
10.7.235.140;
10.7.235.144;
10.7.235.149;
10.7.235.132;
10.7.240.138;
10.7.240.202;
10.7.65.61;
10.7.237.88;
10.7.237.85;
10.7.237.91;
10.7.235.220;
10.7.237.87;
10.7.235.130;
10.7.233.251;
10.7.233.248;
10.7.233.250;
10.7.233.249;
10.7.65.127;
10.7.233.252;
10.7.237.80;
10.7.239.132;
10.7.240.139;
10.7.240.155;
10.7.237.69;
10.7.65.9;
10.7.237.82;
10.7.237.84;
10.7.65.58;
10.7.237.117;
10.7.65.41;
10.13.204.7;
10.13.204.8;
10.7.233.253;
10.7.233.254;
10.7.235.133;
10.7.65.162;
10.7.65.59;
10.7.65.98;
10.7.240.195;
10.7.233.247;
10.7.233.245;
10.7.240.111;
10.7.240.190;
10.7.237.77;
10.7.237.122;
AbdurakhmanovRM;
BednevAV;
DonskoyDR;
NurgalievaGM;
RudnichenkoNV;
10.7.237.102;
10.7.237.81;
10.7.237.132;
10.7.237.152;
10.7.240.100;
10.7.240.148;
10.7.240.223;
10.7.237.89;
10.7.237.95;
10.7.237.68;
10.7.232.27;
10.7.233.128;
10.7.233.70;
10.13.204.11;
10.7.65.53;
10.13.204.13;
10.7.237.100;
10.7.237.119;
10.7.237.151;
10.7.237.70;
10.7.237.75;
10.7.237.92;
10.7.237.93;
10.7.237.97;
10.7.237.98;
10.7.237.99;
10.13.204.14	
Oracle_users	Группа ip адресов	10.5.168.181;
10.5.168.88;
10.5.169.132;
10.5.169.180;
10.5.169.57;
10.5.168.214;
10.5.169.230;
10.5.169.197;
10.5.168.149;
10.5.169.24;
10.5.169.204;
10.5.169.37;
10.5.168.186;
10.5.169.246;
10.5.169.174;
10.13.129.141;
10.13.129.142;
10.13.129.143;
10.13.129.144;
10.13.129.146;
10.5.168.70;
10.5.168.129;
10.5.169.18;
10.13.129.96;
10.13.128.24;
10.5.168.225;
10.5.169.176;
10.5.168.105;
10.5.169.74;
10.13.129.155;
PomaskinDV;
SennikovAV;
MardanovaTB;
KostikovaMM;
